Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
KWID ,3.38 Lakh,new delhi,Petrol,Automatic,68557,2017,Renault
Ciaz ,12.26 Lakh,new delhi,Petrol,Automatic,3665,2022,Maruti
Creta ,8.08 Lakh,new delhi,Petrol,Manual,71237,2016,Hyundai
i20 ,6.19 Lakh,new delhi,Petrol,Manual,58438,2017,Hyundai
Tiago ,4.54 Lakh,new delhi,Petrol,Manual,27958,2018,Tata
Swift ,5.35 Lakh,new delhi,Petrol,Manual,60645,2018,Maruti
XUV500 ,12.96 Lakh,new delhi,Diesel,Automatic,55040,2018,Mahindra
Scorpio ,11.61 Lakh,new delhi,Diesel,Manual,39719,2018,Mahindra
Baleno ,5.61 Lakh,new delhi,Petrol,Manual,43527,2016,Maruti
Baleno ,6.59 Lakh,new delhi,Petrol,Manual,31939,2018,Maruti
Ignis ,4.91 Lakh,new delhi,Petrol,Manual,30903,2019,Maruti
Nexon ,11.65 Lakh,new delhi,Diesel,Automatic,34960,2021,Tata
Nexon ,9.86 Lakh,new delhi,Petrol,Manual,15277,2021,Tata
EON ,2.20 Lakh,new delhi,Petrol,Manual,76701,2014,Hyundai
Swift ,4.63 Lakh,new delhi,Petrol,Manual,55694,2016,Maruti
XUV500 ,6.13 Lakh,new delhi,Diesel,Manual,104537,2015,Mahindra
Swift ,7.03 Lakh,new delhi,Petrol,Automatic,6662,2020,Maruti
Alto 800 ,2.65 Lakh,new delhi,Petrol,Manual,34346,2015,Maruti
Scorpio ,9.86 Lakh,new delhi,Diesel,Manual,68307,2018,Mahindra
Wagon R ,5.60 Lakh,new delhi,CNG,Manual,71797,2019,Maruti
Swift ,4.28 Lakh,new delhi,Petrol,Manual,69260,2014,Maruti
Etios ,2.55 Lakh,new delhi,Petrol,Manual,46215,2011,Toyota
Baleno ,5.31 Lakh,new delhi,Petrol,Manual,63077,2016,Maruti
Brio ,3.41 Lakh,new delhi,Petrol,Manual,56901,2015,Honda
Wagon R ,3.65 Lakh,new delhi,Petrol,Manual,30253,2016,Maruti
SX4 S Cross ,5.64 Lakh,new delhi,Diesel,Manual,99107,2017,Maruti
Swift ,3.11 Lakh,new delhi,Petrol,Manual,51232,2013,Maruti
Ciaz ,5.33 Lakh,new delhi,Diesel,Manual,92530,2016,Maruti
Swift ,4.09 Lakh,new delhi,Diesel,Manual,94891,2015,Maruti
Scorpio ,9.83 Lakh,new delhi,Diesel,Manual,37556,2018,Mahindra
i20 ,6.15 Lakh,new delhi,Diesel,Manual,49197,2017,Hyundai
XUV500 ,8.36 Lakh,new delhi,Diesel,Manual,49623,2017,Mahindra
Wagon R ,3.23 Lakh,new delhi,CNG,Manual,57417,2014,Maruti
Alto K10 ,3.30 Lakh,new delhi,Petrol,Manual,28987,2018,Maruti
Ecosport ,6.76 Lakh,new delhi,Diesel,Manual,79121,2017,Ford
Glanza ,7.32 Lakh,new delhi,Petrol,Automatic,28691,2019,Toyota
Innova Crysta ,15.45 Lakh,new delhi,Diesel,Automatic,96927,2017,Toyota
Swift ,6.08 Lakh,new delhi,Diesel,Automatic,91221,2018,Maruti
Compass ,11.16 Lakh,new delhi,Petrol,Manual,37747,2018,Jeep
Creta ,9.33 Lakh,new delhi,Diesel,Manual,43426,2017,Hyundai
Grand i10 ,5.24 Lakh,new delhi,Petrol,Manual,15733,2018,Hyundai
Amaze ,2.74 Lakh,new delhi,Diesel,Manual,83325,2013,Honda
