,Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
8964,Grand i10 ,385000,mumbai,Petrol,Manual,63500,2013,Hyundai
8965,Wagon R ,450000,mumbai,Petrol,Manual,17700,2016,Maruti
8966,Amaze ,500000,mumbai,Petrol,Manual,40000,2015,Honda
8967,Superb ,1711000,mumbai,Petrol,Automatic,69000,2016,Skoda
8968,5 Series ,1299000,mumbai,Diesel,Automatic,48500,2011,BMW
8969,5 Series ,1299000,mumbai,Diesel,Automatic,48500,2011,BMW
8970,i20 ,495000,mumbai,Petrol,Manual,53500,2014,Hyundai
8971,Wagon R ,245000,mumbai,Petrol,Manual,41000,2011,Maruti
8972,Ertiga ,1090000,mumbai,Petrol,Automatic,32000,2019,Maruti
8973,Wagon R ,415000,mumbai,Petrol,Manual,45236,2016,Maruti
8974,Indica eV2 ,310000,mumbai,CNG,Manual,15000,2014,Tata
8975,Rapid ,595000,mumbai,Diesel,Manual,64000,2016,Skoda
8976,Vitara Brezza ,875000,mumbai,Diesel,Manual,29600,2018,Maruti
8977,i20 ,254999,mumbai,Petrol,Manual,62000,2010,Hyundai
8978,2 Series ,4190000,mumbai,Diesel,Automatic,10000,2021,BMW
8979,City ,699000,mumbai,Petrol,Manual,50300,2016,Honda
8980,i20 ,595000,mumbai,Petrol,Manual,10000,2017,Hyundai
8981,Polo ,725000,mumbai,Petrol,Automatic,31000,2017,Volkswagen
8982,Octavia ,1850000,mumbai,Petrol,Automatic,48000,2018,Skoda
8983,Sunny ,245000,mumbai,Diesel,Manual,105000,2012,Nissan
8984,Innova Crysta ,1698999,mumbai,Diesel,Manual,149776,2016,Toyota
8986,GLE ,5450000,mumbai,Diesel,Automatic,37200,2018,Mercedes-Benz
8987,Harrier ,1545000,mumbai,Diesel,Manual,37000,2019,Tata
8988,Discovery Sport ,4375000,mumbai,Diesel,Automatic,49000,2018,Land Rover
8989,7 Series ,2375000,mumbai,Diesel,Automatic,97500,2013,BMW
8990,XUV500 ,1149000,mumbai,Diesel,Automatic,27000,2016,Mahindra
8991,CR-V ,1249000,mumbai,Petrol,Automatic,48000,2015,Honda
8992,Jetta ,349000,mumbai,Diesel,Manual,21704,2011,Volkswagen
8993,Kiger ,850000,mumbai,Petrol,Automatic,8105,2021,Renault
8994,Jazz ,699000,mumbai,Petrol,Automatic,36858,2016,Honda
8995,City ,675000,mumbai,Diesel,Manual,53000,2015,Honda
8997,Polo ,311000,mumbai,Diesel,Manual,46000,2012,Volkswagen
8998,i10 ,295000,mumbai,Petrol,Automatic,40000,2013,Hyundai
8999,Grand i10 ,375000,mumbai,Petrol,Manual,57284,2013,Hyundai
9000,Xcent ,495000,mumbai,Petrol,Manual,46825,2017,Hyundai
9001,EON ,215000,mumbai,Petrol,Manual,36000,2012,Hyundai
9002,Nexon ,725000,mumbai,Petrol,Manual,24000,2018,Tata
9003,Vento ,750000,mumbai,Diesel,Automatic,68000,2017,Volkswagen
9004,Ritz ,195000,mumbai,Petrol,Manual,52000,2010,Maruti
9005,Duster ,380000,mumbai,Diesel,Manual,85000,2013,Renault
9006,Zen Estilo ,135000,mumbai,Petrol,Manual,29631,2009,Maruti
9007,XL6 ,1200000,mumbai,Petrol,Automatic,27000,2019,Maruti
9008,Range Rover Evoque ,2580000,mumbai,Diesel,Automatic,60000,2012,Land Rover
9009,Q7 ,1600000,mumbai,Diesel,Automatic,74000,2013,Audi
9010,M-Class ,3000000,mumbai,Diesel,Automatic,63000,2015,Mercedes-Benz
9011,Wagon R ,590000,mumbai,Petrol,Automatic,46800,2019,Maruti
9012,E-Class ,2299000,mumbai,Diesel,Automatic,44000,2015,Mercedes-Benz
9013,S-Class ,5300000,mumbai,Petrol,Automatic,37400,2014,Mercedes-Benz
9014,A6 ,2500000,mumbai,Diesel,Automatic,49000,2015,Audi
9015,Innova ,785000,mumbai,Diesel,Manual,111000,2012,Toyota
9016,Innova ,535000,mumbai,Diesel,Manual,133000,2010,Toyota
9017,Wagon R ,350000,mumbai,CNG,Manual,89160,2014,Maruti
9018,Wagon R ,575000,mumbai,CNG,Manual,34000,2019,Maruti
9019,City ,1103000,mumbai,Petrol,Automatic,21034,2018,Honda
9020,City ,1509000,mumbai,Petrol,Automatic,568,2022,Honda
9021,Vento ,250000,mumbai,Diesel,Manual,90000,2011,Volkswagen
9022,Amaze ,495000,mumbai,Petrol,Manual,21000,2015,Honda
9023,Ertiga ,459999,mumbai,Diesel,Manual,120000,2013,Maruti
9024,Mobilio ,545000,mumbai,Petrol,Manual,65000,2015,Honda
9025,Tigor ,545000,mumbai,Petrol,Manual,33000,2018,Tata
9026,Celerio ,409999,mumbai,CNG,Manual,51000,2015,Maruti
9027,Compass ,1645000,mumbai,Petrol,Automatic,34010,2018,Jeep
9028,Compass ,1975000,mumbai,Diesel,Manual,5732,2020,Jeep
9029,Creta ,1445000,mumbai,Petrol,Automatic,10573,2018,Hyundai
9030,i20 ,365000,mumbai,Petrol,Manual,45000,2013,Hyundai
9031,Accord ,450000,mumbai,Petrol,Manual,85500,2011,Honda
9032,TUV 300 ,625000,mumbai,Diesel,Manual,78000,2016,Mahindra
